"MaximumInscribedSphereRadius","EdgeArray:0","EdgeArray:1","EdgePCoordArray","Points:0","Points:1","Points:2"
5.8625,5733,2613,0.736,104.91,41.802,142.64
5.8717,51133,51134,0.084,104.76,41.927,142.69
5.8721,51133,51135,0.152,104.74,41.936,142.7
5.8767,51137,51135,0.92,104.64,42.022,142.75
5.9406,51139,51139,0,104.07,42.458,142.97
5.9753,2710,2710,0,103.81,42.645,143.09
5.9789,50241,2916,0.084,103.77,42.679,143.1
6.0242,106,106,0,103.35,43.021,143.27
6.0332,2952,2951,0.056,103.28,43.07,143.29
6.0881,470,2951,0.22,102.9,43.334,143.42
6.0984,2974,470,0.24,102.84,43.381,143.45
6.1126,2979,2974,0.544,102.7,43.492,143.5
6.1279,2979,2979,0,102.56,43.608,143.55
6.1499,2976,2976,0,102.38,43.741,143.62
6.15,2971,2976,0.996,102.38,43.742,143.62
6.1935,2971,2971,0,102.1,43.943,143.73
6.1938,604,2971,0.948,102.09,43.945,143.73
6.1995,604,604,0,102.06,43.969,143.74
6.228,660,660,0,101.83,44.149,143.83
6.2323,1007,6344,0.244,101.79,44.177,143.84
6.2372,6404,446,0.012,101.73,44.216,143.85
6.239,6404,6406,0.068,101.72,44.227,143.86
6.2672,6406,6406,0,101.49,44.407,143.95
6.3031,6408,6408,0,101.26,44.576,144.05
6.3203,6348,6350,0.856,101.17,44.652,144.1
6.3215,479,6350,0.748,101.16,44.659,144.1
6.3486,6359,6359,0,100.97,44.811,144.21
6.3665,6361,6361,0,100.83,44.93,144.27
6.3989,6363,6363,0,100.55,45.125,144.37
6.4178,958,6364,0.7,100.44,45.215,144.43
6.4371,6287,6287,0,100.3,45.317,144.48
6.466,6284,6315,0.044,100.09,45.469,144.58
6.4992,6356,6284,0.292,99.874,45.639,144.68
6.5131,6356,6356,0,99.783,45.711,144.72
6.545,6354,6354,0,99.543,45.878,144.83
6.5862,6303,6331,0.832,99.262,46.094,144.97
6.5868,6313,6331,0.796,99.258,46.096,144.97
6.5949,6313,6328,0.136,99.199,46.139,145
6.6529,6324,6327,0.352,98.809,46.406,145.17
6.6619,6324,6334,0.396,98.75,46.443,145.19
6.6935,6300,6559,0.544,98.493,46.619,145.3
6.7166,2672,3191,0.228,98.31,46.752,145.37
6.7778,6594,6594,0,97.88,47.038,145.55
6.799,6686,6686,0,97.69,47.175,145.63
6.8693,6271,6271,0,97.148,47.534,145.84
6.8927,6265,2691,0.36,97.007,47.636,145.9
6.9334,3183,2691,0.016,96.682,47.835,146.04
6.934,3183,1081,0.004,96.677,47.839,146.04
6.939,2005,1081,0.988,96.608,47.89,146.07
6.9977,4139,6467,0.356,96.054,48.272,146.3
7.0107,4139,4139,0,95.963,48.333,146.33
7.0108,6581,4139,0.996,95.962,48.333,146.33
7.0413,6581,6581,0,95.756,48.46,146.4
7.0655,6627,6627,0,95.587,48.557,146.46
7.0742,6629,6629,0,95.481,48.63,146.51
7.1084,6574,6574,0,95.061,48.92,146.63
7.1468,6121,6121,0,94.735,49.168,146.74
7.2257,6478,6478,0,94.084,49.589,146.91
7.2651,9237,6780,0.956,93.85,49.755,146.98
7.2816,2532,6493,0.656,93.719,49.864,147.03
7.3191,2558,18318,0.48,93.281,50.172,147.17
7.437,2172,644,0.84,92.445,50.854,147.43
7.4517,644,1704,0.356,92.361,50.915,147.45
7.4869,1212,1038,0.956,92.153,51.06,147.52
7.4996,9046,1038,0.924,92.082,51.12,147.54
7.6153,9182,9046,0.048,91.284,51.79,147.69
7.6584,9455,9057,0.52,91.016,51.984,147.72
7.6688,9057,7108,0.58,90.865,52.127,147.73
7.6997,7108,9492,0.444,90.523,52.431,147.77
7.7242,9463,9492,0.968,90.214,52.695,147.77
7.7751,9340,6183,0.828,89.677,53.088,147.78
7.8284,9462,9462,0,89.247,53.504,147.82
7.8457,6189,9619,0.952,89.12,53.616,147.84
7.8697,18314,18444,0.98,88.558,54.024,147.8
7.87,18444,18474,0.012,88.553,54.028,147.8
7.9536,18442,18442,0,87.438,54.942,147.72
7.9694,18443,18313,0.18,87.326,55.021,147.72
7.9957,18448,18448,0,85.904,56.127,147.34
7.9957,16817,18448,0.992,85.904,56.127,147.34
7.9946,16817,16817,0,85.902,56.128,147.34
7.9664,18449,16478,0.052,85.779,56.198,147.27
8.0728,18161,18161,0,84.081,57.558,146.65
8.0706,9290,18170,0.152,84.031,57.591,146.62
7.8246,18177,18177,0,82.863,58.336,145.6
7.8231,17345,18237,0.016,82.8,58.374,145.55
7.8674,18165,9177,0.456,81.73,59.207,144.68
7.8834,27697,27697,0,81.543,59.324,144.53
7.9492,16757,27684,0.32,80.876,59.869,143.85
7.9855,18753,27720,0.008,80.435,60.164,143.38
7.9858,18753,20387,0.076,80.42,60.175,143.36
8.0088,18302,18302,0,80.21,60.319,143.11
8.0132,27710,27729,0.072,79.324,60.92,141.67
8.0336,27710,18757,0.792,79.185,61.005,141.45
8.035,18202,18202,0,79.155,61.018,141.39
7.9887,18623,27682,0.876,78.927,61.164,140.81
7.9989,27634,27616,0.848,78.862,61.197,140.67
7.8589,18748,27634,0.688,78.468,61.286,139.45
7.8357,18748,27677,0.776,78.39,61.342,139.13
7.8019,27675,27677,0.272,78.286,61.395,138.71
7.781,27622,27675,0.504,78.246,61.418,138.48
7.7418,27619,27619,0,78.186,61.43,138.14
7.6437,27647,27647,0,78.077,61.391,137.28
7.6194,27582,27582,0,78.008,61.372,136.91
7.566,27627,18063,0.024,77.941,61.36,136.37
7.5605,27628,27628,0,77.938,61.359,136.32
7.5121,27637,27637,0,77.844,61.327,135.72
7.4742,9953,9953,0,77.783,61.268,135.04
7.4613,18635,18635,0,77.756,61.22,134.68
7.4346,27591,27591,0,77.702,61.17,134.21
7.4174,27589,27590,0.676,77.655,61.127,133.81
7.4149,18611,27590,0.6,77.639,61.109,133.69
7.4035,27578,27578,0,77.611,61.044,133.17
7.4064,27536,27536,0,77.581,61.011,132.96
7.4015,34756,34756,0,77.55,60.886,132.33
7.3988,18176,18176,0,77.555,60.86,132.22
7.3794,27572,27572,0,77.544,60.708,131.35
7.3844,27434,34663,0.224,77.55,60.625,130.94
7.3843,27434,34580,0.3,77.55,60.622,130.93
7.3804,34659,34659,0,77.554,60.524,130.49
7.3804,34660,34659,0.996,77.554,60.524,130.49
7.3853,34660,34660,0,77.549,60.473,130.25
7.3882,18566,18566,0,77.549,60.429,130.07
7.3884,34693,34693,0,77.573,60.338,129.66
7.3931,9344,34631,0.496,77.587,60.288,129.41
7.3931,34636,34631,0.592,77.595,60.259,129.29
7.3929,34637,34637,0,77.62,60.187,128.99
7.404,35188,35188,0,77.645,60.112,128.64
7.4072,35189,35189,0,77.66,60.081,128.52
7.4173,26584,26584,0,77.733,59.93,127.82
7.4182,34763,34764,0.124,77.737,59.914,127.75
7.4209,34764,28197,0.076,77.747,59.867,127.57
7.4261,28197,28197,0,77.759,59.826,127.41
7.45,20585,20585,0,77.801,59.716,126.99
7.4659,27457,27457,0,77.845,59.618,126.53
7.4752,38330,17906,0.12,77.865,59.473,125.9
7.4794,38332,34469,0.184,77.868,59.454,125.83
7.4881,35125,34469,0.808,77.932,59.371,125.42
7.4891,35125,35125,0,77.936,59.364,125.39
7.4972,34271,34271,0,77.961,59.317,125.2
7.5071,28010,35059,0.308,77.982,59.244,124.89
7.5117,35059,35059,0,77.99,59.17,124.53
7.5162,27121,27121,0,77.999,59.136,124.36
7.5169,27492,27492,0,78,59.127,124.32
7.5399,16758,16758,0,78.049,58.96,123.63
7.5383,34306,27140,0.892,78.053,58.953,123.58
7.5318,38160,38160,0,78.1,58.841,122.94
