x,y,z
1.099805068969726562e+02,3.827102279663085938e+01,1.408245849609375000e+02
1.098333282470703125e+02,3.836613845825195312e+01,1.408736267089843750e+02
1.097080078125000000e+02,3.845560836791992188e+01,1.409138946533203125e+02
1.094991302490234375e+02,3.859927368164062500e+01,1.409712066650390625e+02
1.093230819702148438e+02,3.870222854614257812e+01,1.410241546630859375e+02
1.090286560058593750e+02,3.890921783447265625e+01,1.411307830810546875e+02
1.087434082031250000e+02,3.909329605102539062e+01,1.412354125976562500e+02
1.084541091918945312e+02,3.930660629272460938e+01,1.413417663574218750e+02
1.083799819946289062e+02,3.935966873168945312e+01,1.413684234619140625e+02
1.083263015747070312e+02,3.939634704589843750e+01,1.413865356445312500e+02
1.078883743286132812e+02,3.966516876220703125e+01,1.415205078125000000e+02
1.078020782470703125e+02,3.971316909790039062e+01,1.415491790771484375e+02
1.076139221191406250e+02,3.983888626098632812e+01,1.416124267578125000e+02
1.072863235473632812e+02,4.008201217651367188e+01,1.417125396728515625e+02
1.069109649658203125e+02,4.031794357299804688e+01,1.418066711425781250e+02
1.068537292480468750e+02,4.036122512817382812e+01,1.418263244628906250e+02
1.067832183837890625e+02,4.041115951538085938e+01,1.418510437011718750e+02
1.063480072021484375e+02,4.072787094116210938e+01,1.420363616943359375e+02
1.061946792602539062e+02,4.082894897460937500e+01,1.420954132080078125e+02
1.056825866699218750e+02,4.120877075195312500e+01,1.422776641845703125e+02
1.056532745361328125e+02,4.122898101806640625e+01,1.422917785644531250e+02
1.050422668457031250e+02,4.169989395141601562e+01,1.425813293457031250e+02
1.049243774414062500e+02,4.178839874267578125e+01,1.426283874511718750e+02
1.049050292968750000e+02,4.180194091796875000e+01,1.426365356445312500e+02
1.047568664550781250e+02,4.192670822143554688e+01,1.426930847167968750e+02
1.047440719604492188e+02,4.193646240234375000e+01,1.426980590820312500e+02
1.046370468139648438e+02,4.202161026000976562e+01,1.427487335205078125e+02
1.040674972534179688e+02,4.245761108398437500e+01,1.429749145507812500e+02
1.038144531250000000e+02,4.264514541625976562e+01,1.430888214111328125e+02
1.037701339721679688e+02,4.267890930175781250e+01,1.430998992919921875e+02
1.033463745117187500e+02,4.302072525024414062e+01,1.432706146240234375e+02
1.032776870727539062e+02,4.307018280029296875e+01,1.432917633056640625e+02
1.029045257568359375e+02,4.333419036865234375e+01,1.434196777343750000e+02
1.028351058959960938e+02,4.338135528564453125e+01,1.434467010498046875e+02
1.027035140991210938e+02,4.349237060546875000e+01,1.435037231445312500e+02
1.025570983886718750e+02,4.360834503173828125e+01,1.435547790527343750e+02
1.023791580200195312e+02,4.374119949340820312e+01,1.436195068359375000e+02
1.023780288696289062e+02,4.374200820922851562e+01,1.436199340820312500e+02
1.020967254638671875e+02,4.394333267211914062e+01,1.437251586914062500e+02
1.020947952270507812e+02,4.394464492797851562e+01,1.437259063720703125e+02
1.020596008300781250e+02,4.396860122680664062e+01,1.437394866943359375e+02
1.018268051147460938e+02,4.414892959594726562e+01,1.438254241943359375e+02
1.017857894897460938e+02,4.417670059204101562e+01,1.438370361328125000e+02
1.017322769165039062e+02,4.421619033813476562e+01,1.438543395996093750e+02
1.017170257568359375e+02,4.422734069824218750e+01,1.438595428466796875e+02
1.014852142333984375e+02,4.440668106079101562e+01,1.439521636962890625e+02
1.012566986083984375e+02,4.457627868652343750e+01,1.440455322265625000e+02
1.011650466918945312e+02,4.465245056152343750e+01,1.440999298095703125e+02
1.011570663452148438e+02,4.465944671630859375e+01,1.441044616699218750e+02
1.009734344482421875e+02,4.481083679199218750e+01,1.442058563232421875e+02
1.008263626098632812e+02,4.492985534667968750e+01,1.442664337158203125e+02
1.005539474487304688e+02,4.512525939941406250e+01,1.443672637939453125e+02
1.004351501464843750e+02,4.521533203125000000e+01,1.444253692626953125e+02
1.003030014038085938e+02,4.531717681884765625e+01,1.444822082519531250e+02
1.000908508300781250e+02,4.546940994262695312e+01,1.445792999267578125e+02
9.987366485595703125e+01,4.563939666748046875e+01,1.446758575439453125e+02
9.978321075439453125e+01,4.571123123168945312e+01,1.447176208496093750e+02
9.954270172119140625e+01,4.587822341918945312e+01,1.448344421386718750e+02
9.926161956787109375e+01,4.609358978271484375e+01,1.449692993164062500e+02
9.925809478759765625e+01,4.609646224975585938e+01,1.449717102050781250e+02
9.919851684570312500e+01,4.613889312744140625e+01,1.449955596923828125e+02
9.880936431884765625e+01,4.640586853027343750e+01,1.451680603027343750e+02
9.875041198730468750e+01,4.644269561767578125e+01,1.451945037841796875e+02
9.849310302734375000e+01,4.661904525756835938e+01,1.452979125976562500e+02
9.830987548828125000e+01,4.675156784057617188e+01,1.453688964843750000e+02
9.787992095947265625e+01,4.703801345825195312e+01,1.455548248291015625e+02
9.769037628173828125e+01,4.717528152465820312e+01,1.456269226074218750e+02
